SECCION,MUNICIPIO,LISTA_NOMINAL,VOTOS_MORENA_Y_ALIADOS,VOTOS_OPOSICION,VOTOS_NULOS
1,Hermosillo,1050,44,399,13
2,Hermosillo,731,54,322,11
3,Hermosillo,1474,54,553,18
4,Hermosillo,1466,40,680,22
5,Hermosillo,1546,66,652,22
6,Hermosillo,2850,188,1420,49
7,Hermosillo,1826,101,934,32
8,Hermosillo,1428,54,569,19
9,Hermosillo,2396,67,1172,38
10,Hermosillo,2840,222,1453,51
11,Hermosillo,2352,88,1178,39
12,Hermosillo,2443,201,1242,44
13,Hermosillo,1560,78,729,24
14,Hermosillo,937,68,383,13
15,Hermosillo,1355,86,594,21
16,Hermosillo,1980,122,914,32
17,Hermosillo,2638,113,987,33
18,Hermosillo,1242,51,464,15
19,Hermosillo,677,22,299,9
20,Hermosillo,1119,63,567,19
21,Hermosillo,1175,48,489,16
22,Hermosillo,1074,50,539,18
23,Hermosillo,1687,110,883,30
24,Hermosillo,2068,150,858,31
25,Hermosillo,2044,73,759,25
26,Hermosillo,1330,103,675,24
27,Hermosillo,2465,84,1397,45
28,Hermosillo,962,46,386,13
29,Hermosillo,2745,113,1012,34
30,Hermosillo,2708,204,1473,51
31,Hermosillo,550,28,236,8
32,Hermosillo,817,46,279,10
33,Hermosillo,2836,186,1451,50
34,Hermosillo,2666,155,1191,41
35,Hermosillo,2747,214,1468,52
36,Hermosillo,1846,105,1014,34
37,Hermosillo,2989,183,1380,48
38,Hermosillo,2224,120,1084,37
39,Hermosillo,1359,65,557,19
40,Hermosillo,2378,76,1149,37
41,Hermosillo,2060,147,948,33
42,Hermosillo,956,44,375,12
43,Hermosillo,657,34,372,12
44,Hermosillo,2173,134,863,30
45,Hermosillo,1613,44,667,21
46,Hermosillo,812,51,298,10
47,Hermosillo,1941,121,1053,36
48,Hermosillo,2745,167,1531,52
49,Hermosillo,773,50,278,10
50,Hermosillo,2537,122,1119,38
51,Hermosillo,1497,108,682,24
52,Hermosillo,1599,61,700,23
53,Hermosillo,1384,96,737,25
54,Hermosillo,1063,42,586,19
55,Hermosillo,870,58,429,15
56,Hermosillo,2792,116,1391,46
57,Hermosillo,674,30,348,11
58,Hermosillo,2878,85,1096,36
59,Hermosillo,1418,102,715,25
60,Hermosillo,1760,117,721,25
61,Hermosillo,2525,172,1047,37
62,Hermosillo,2856,150,959,34
63,Hermosillo,2323,143,953,33
64,Hermosillo,2450,165,1310,45
65,Hermosillo,2198,92,1110,37
66,Hermosillo,790,41,444,14
67,Hermosillo,806,21,330,10
68,Hermosillo,2410,163,973,35
69,Hermosillo,652,28,378,12
70,Hermosillo,985,73,418,15
71,Hermosillo,1826,68,659,22
72,Hermosillo,800,54,348,12
73,Hermosillo,1646,55,882,28
74,Hermosillo,2610,199,1442,50
75,Hermosillo,2346,132,1026,35
76,Hermosillo,2017,105,722,25
77,Hermosillo,1535,104,726,25
78,Hermosillo,1268,35,496,16
79,Hermosillo,1095,72,503,17
80,Hermosillo,1612,89,899,30
81,Hermosillo,2572,133,1021,35
82,Hermosillo,1092,30,472,15
83,Hermosillo,2532,184,1281,45
84,Hermosillo,1661,88,729,25
